environment: procgen:procgen-heist-v0
number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 200
	v_mask: random
	v_mask_density: 0.005
	w_mask: random
	w_mask_density: 0.2
	t_mask: random
	t_mask_density: 0.1
	clipping_range_min: -1.0
	clipping_range_max: 1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 20684
Free Parameters: {'V': 12367, 'W': 8012, 'T': 305}
Inputs: 12288
Outputs: 15

--------------------------------------------------------------------------------
gen     min             mean            max             elapsed time (s)
382     1.00            2.65            4.00            45.80           
383     1.00            2.47            4.00            45.85           
384     0.50            2.09            3.50            45.98           
385     1.00            3.71            5.50            45.12           
386     0.50            2.79            5.50            45.70           
387     0.00            2.58            4.00            46.01           
388     1.00            2.41            4.00            45.56           
389     0.50            1.74            3.00            46.19           
390     1.00            3.87            6.00            44.88           
391     2.00            3.68            5.50            44.66           
392     1.00            2.75            4.50            45.45           
393     0.00            2.70            4.50            45.67           
394     0.00            1.68            3.50            46.07           
395     1.00            2.75            5.00            45.54           
396     1.50            3.38            5.00            44.98           
397     1.00            2.65            4.50            45.51           
398     1.00            2.93            5.00            45.69           
399     1.50            3.28            6.00            45.30           
400     0.50            2.68            5.00            45.74           
401     0.50            2.11            4.00            45.83           
402     1.50            3.67            5.50            44.82           
403     2.00            3.70            6.00            45.10           
404     0.50            3.05            5.00            45.58           
405     1.00            3.17            5.00            45.34           
406     1.00            3.74            6.00            45.23           
407     1.00            2.21            3.50            45.82           
408     1.50            3.76            6.00            44.94           
409     2.00            4.21            7.00            45.14           
410     1.00            3.40            5.50            45.80           
411     1.00            2.26            4.00            45.77           
412     0.50            2.29            4.00            45.82           
413     1.00            2.53            5.00            45.54           
414     1.50            4.04            6.00            44.34           
415     0.50            2.37            4.00            45.95           
416     0.50            2.22            4.00            45.77           
417     0.50            2.03            4.00            46.02           
418     1.00            2.89            5.00            45.68           
419     2.00            3.46            5.50            45.51           
420     0.50            2.05            3.50            46.35           
421     1.00            3.07            5.00            45.99           
422     1.00            2.67            4.50            46.01           
423     1.00            3.28            5.00            44.92           
424     1.50            3.18            4.50            45.00           
425     0.50            1.55            3.50            46.12           
426     0.00            1.96            4.00            46.03           
427     1.00            2.56            4.00            45.48           
428     1.00            3.17            5.00            45.08           
429     0.00            2.47            4.00            45.64           
430     0.50            2.62            4.00            45.95           
431     1.00            2.38            4.00            45.35           
432     1.00            3.18            6.00            45.21           
433     0.00            2.83            4.50            45.23           
434     1.50            3.35            6.00            44.81           
435     0.00            1.33            2.50            46.45           
436     1.50            3.42            5.50            45.11           
437     2.00            3.85            6.00            44.64           
438     1.50            3.75            6.00            44.91           
439     0.00            2.01            3.50            46.09           
440     1.00            2.84            4.50            44.87           
441     0.50            2.61            4.00            45.61           
442     0.00            1.69            3.00            46.37           
443     0.50            2.34            4.00            45.86           
444     0.50            1.79            3.50            46.28           
445     1.50            3.22            5.00            45.53           
446     0.50            2.08            4.00            45.90           
447     0.00            2.25            4.50            45.90           
448     1.50            3.29            5.00            45.62           
449     0.00            2.14            4.00            46.00           
450     0.50            1.91            3.50            45.94           
451     0.00            1.79            3.00            46.05           
452     2.00            4.60            7.00            43.90           
453     0.50            2.10            4.00            46.05           
454     0.50            2.52            4.50            45.76           
